Sune, S, Swimming Left
OLL 	(y) f (R U R' U') f' U' F (R U R' U') F' 	
OLL 	(y2) r' R2 U R' U r U2 r' U R' r 	Cube Camera Icon.png[5]
OLL 	(y2) M U l' U2 l U L' U L M' 	
OLL 	(y2) r' R2 U R' U r U2 r' U M' 	
OLL 	(M'U) (r'U2 r U) (R' U R2 r')

Nazi, Mouse
OLL 	f (R U R' U') f' U F (R U R' U') F' 	
OLL 	R' U2 x R' U R U' y R' U' R' U R' F 	
OLL 	(y) r' R U' r U2 r' U' R U' R2' r 	
OLL 	(y) M U' r U2' r' U' R U' R' M' 	
OLL 	l L2 U' L U' l' U2 l U' M'

Slash, Diagonal
OLL 	R U R' U (R' F R F') U2 (R' F R F') 	
OLL 	f (R U R' U') y' r' (R U R' U') R' F R F' 	
OLL 	F R' F' l R L' U R U' R' U' M' 	
OLL 	F' R U2 r' U F2 U' r U2 R' F 	
OLL 	(F' R U2 r' d) R2 U' F R2 f' R 	
OLL 	(y2) (F R' F' R2 r' U) (R U' R' U' M')

Crown
OLL 	(y') r U R' U R U2 r2' U' R U' R' U2 r 	
OLL 	(y) F R U R' d R' U2 R' F R F' 	
OLL 	R U2 R2 F R F' U2 M' U R U' r' 	
OLL 	l' U' r' U2 L U2 L' U2 r U l 	
OLL 	(y2) (R' F R F') U2 (R' F R F') (U F' U F) 	
OLL 	(y) (F R' F' R) U2 (F R' F' R)(U' R U' R') 	
OLL 	(y) x (U R' U' R) B2 (U R' U' R)(B' R B' R') x' 	
OLL 	(y2) (F R U' R' U' R U R' F') U' (F R U R' U' F') 	
OLL 	(y') (M' U M U2 M' U M) U (f R U R' U' f')

Bunny
OLL 	r' R U R U R' U' r R2' F R F' 	
OLL 	M U R U R' U' M' R' F R F' 	
OLL 	M U R U R' U' r R2' F R F' 	
OLL 	r' U2 R U R' U r2 U2' R' U' R U' r' 	
OLL 	R' U2 F R U R' U' y' R2 U2 R B 	
OLL 	(y2) M' U' R' U' R U r' R2 B' R' B 	
OLL 	(y2) M' U L U L' U' l L2 B L B' 	

Couch
OLL 	(y2) R' U' F U R U' R' F' R 	
OLL 	(y) (F R' F' R) (U R U R') (U' R U' R') 	
OLL 	L' d' R d L U' L' B' L 	
OLL 	S' L' U' L U L F' L' f 	
OLL 	(y) x U R' U' l U R U R' U' R U' R' 	
OLL 	L' U' B U L U' L' B' L 	
OLL 	(y') (S R U R' U' Fw' U' F) 	
OLL 	(y) M' U' L' U' L F U F' L' U l 	
OLL 	(y2) (L' U' L U) (R U R' U') M' U' L' U2 R U' (x') 	

Anti-Couch
OLL 	R U B' U' R' U R B R' 	
OLL 	(y2) x' R U R' D R U' R U' R' U R' D' x 	
OLL 	(y2) F U R U' F' r U R' U' r' 	
OLL 	R U x' U' F' R' F R U R' 	
OLL 	R d L' d' R' U R B R' 	
OLL 	S R U R' U' R' F R f' 	
OLL 	(y) x' U' R U l' U' R' U' R U R' U R 	
OLL 	R U2 R' U' F' U F R U' R' 	
OLL 	l F U' F' R' F R U l' 	
OLL 	(y) M' U R U R' F' U' F R U' r' 	
OLL 	(y2) L U F' U' L' U L F L' 	
OLL 	(y2) (R U R' U') (L' U' L U) M' U R U2 L' U x' 	

Anti-P
OLL 	(y) R' U' F' U F R 	
OLL 	f' L' U' L U f 	
OLL 	B' U' R' U R B 	
OLL 	(y2) F' U' L' U L F 	
OLL 	(y2) U R U R' F' L' U' L F 	
OLL 	(y2) R' U' F R' F' R U R 	
OLL 	(y') R U l' U' r' U' r U x'

P
OLL 	f (R U R' U') f' 	
